"SAN FRANCISCO – It has never been easy to have a rational conversation about the value of gold.","SAN FRANCISCO – Es war noch nie leicht, ein rationales Gespräch über den Wert von Gold zu führen."
"1.&#160;&#160;&#160;&#160;&#160; The EU needs a knowledge and innovation policy that strengthens European agriculture’s competitiveness.","1.&#160;&#160;&#160;&#160;&#160; Die EU braucht eine Politik des Wissens und der Innovation, die die Wettbewerbsfähigkeit der europäischen Landwirtschaft stärkt."
"Such a policy has been successful in the Netherlands, substantially contributing to the development and power of the country’s agribusiness.","Eine derartige Politik ist in den Niederlanden erfolgreich, wo sie in beträchtlichem Maß zur Entwicklung und Leistung der Agrarindustrie beiträgt."
"Ten of 21 branches of Dutch agribusiness, including horticultural seeds, ornamentals, seed potatoes, and veal, are among the top contributors to the national economy and the country’s trade balance.","Zehn der 21 Bereiche der holländischen Agrarindustrie, wie beispielsweise Saatgut für den Gartenbau, Zierpflanzen, Pflanzkartoffeln und Kalbfleisch zählen zu den größten Sektoren der nationalen Wirtschaft und der Handelsbilanz des Landes."
"In the EU as a whole, a policy directed toward research programs stimulating scientific excellence and greater coherence in the European knowledge system would greatly strengthen agriculture’s competitiveness and contribute to food security and sustainable development.","In der EU insgesamt würde eine auf Forschungsprogramme ausgerichtete Politik wissenschaftliche Exzellenz und größere Kohärenz im europäischen Wissenssystem fördern und daher die Wettbewerbsfähigkeit der Landwirtschaft enorm stärken sowie einen Beitrag zu Nahrungssicherheit und nachhaltiger Entwicklung leisten."
"2.&#160;&#160;&#160;&#160;&#160; Europe also needs a restructuring policy for land use.","2.&#160;&#160;&#160;&#160;&#160; Europa braucht auch eine Restrukturierungspolitik im Bereich Bodennutzung."
"Many structural improvement programs have been financed at the European level, but agricultural production and land use are not among them.","Zahlreiche Programme zur Strukturverbesserung werden auf europäischer Ebene finanziert, aber landwirtschaftliche Produktion und Bodennutzung zählen nicht dazu."
"The development of an Agricultural Main Structure would compliment the European Ecological Main Structure.","Die Entwicklung einer landwirtschaftlichen Grundstruktur würde die europäische ökologische Grundstruktur ergänzen."
"Reforestation and the repair of natural ecosystems should also be part of a land use policy.","Wiederaufforstung und Schadensbehebung in natürlichen Ökosystemen sollten ebenfalls Teil einer Bodennutzungspolitik sein. &#160;"
"3.&#160;&#160;&#160;&#160;&#160; A policy for European food systems would treat production, processing, distribution, logistics, and retailing in combination.","3.&#160;&#160;&#160;&#160;&#160; Eine Politik im Bereich europäischer Lebensmittelsysteme würde Produktion, Verarbeitung, Vertrieb, Logistik und Verkauf gemeinsam behandeln."
"Consumption patterns and preferences are an integral part of such systems.","Verbrauchsmuster und Präferenzen sind ein integraler Bestandteil derartiger Systeme."
"Preliminary studies by the European Science Foundation’s “Forward Look on European Food Systems” could prove useful in devising an EU-wide policy.","Voruntersuchungen der Europäischen Wissenschaftsstiftung unter dem Titel „Forward Look on European Food Systems” könnten sich bei der Erarbeitung einer derartigen EU-weiten Politik als hilfreich erweisen."
"4.&#160;&#160;&#160;&#160;&#160; Metropolitan agriculture in a rapidly urbanizing world can provide high-quality produce on small amounts of land.","4.&#160;&#160;&#160;&#160;&#160; In einer sich rasch urbanisierenden Welt kann Landwirtschaft im städtischen Umfeld auf kleinen Landflächen qualitativ hochwertige Produkte hervorbringen."
"It offers an answer to rising demand for healthy food with minimal environmental side effects.","Das ist eine Antwort auf die steigende Nachfrage nach gesunden Nahrungsmitteln, die ohne große Umweltbelastungen erzeugt werden."
"5.&#160;&#160;&#160;&#160;&#160; A new CAP should include a policy to safeguard Europe’s landscapes.","5.&#160;&#160;&#160;&#160;&#160; Eine neue GAP sollte auch eine Strategie zum Schutz der Landschaftspflege in Europa einschließen."
"But a cultural heritage should not be maintained everywhere, nor should it ignore cost.","Nicht überall sollte man ein Kulturerbe aufrecht erhalten, und ebenso wenig sollte man die Kosten außer Acht lassen."
"And it should not be a defensive policy of the sort that tends to concentrate on poor-quality land.","Überdies darf es sich dabei nicht um eine defensive Strategie jener Art handeln, die dazu neigt, sich auf qualitativ minderwertiges Land zu konzentrieren."
"These five pillars involve drastic choices, but they will probably require less money from Europe’s taxpayers, not more.","Diese fünf Säulen bergen so manche drastische Entscheidung, aber sie werden dem europäischen Steuerzahler wahrscheinlich nicht mehr, sondern weniger kosten."
"They could make a real contribution to cleaner, more productive, and efficient farming and land use, while addressing social needs.","Damit könnte ein echter Beitrag für eine sauberere, produktivere und effizientere Landwirtschaft und Bodennutzung geleistet werden, der gleichzeitig auch soziale Bedürfnisse berücksichtigt."
"“It could happen here” is the shorthand phrase frequently used for a variety of alarming hypothetical scenarios. “How could this happen here?” was the question more pertinently asked in Great Britain recently, as its universities witnessed the unfolding of an all-too-real and perplexing action.","„Es könnte auch hier passieren“, lautet die knappe Wendung, die häufig für eine Vielzahl von alarmierenden hypothetischen Szenarios benutzt wird. „Wie konnte das hier passieren?“, war die etwas passendere Frage, die vor kurzem in Großbritannien gestellt wurde, als die britischen Universitäten Zeuge wurden, wie eine allzu reale und bestürzende Aktion ihren Lauf nahm."
"In early June, the National Association of Teachers in Further and Higher Education (NATFHE), Britain’s largest academic union, with 67,000 members, passed a motion to sever ties with all Israeli professors and institutions of higher learning unless they publicly dissociate themselves from “continuing Israeli apartheid policies.”","Anfang Juni stellte NATFHE, der nationale Verband der Dozenten in der Weiter- und Hochschulbildung, mit 67.000 Mitgliedern Großbritanniens größte akademische Gewerkschaft, einen Antrag, die Beziehungen zu sämtlichen israelischen Professoren und höheren Bildungsanstalten abzubrechen, wenn diese sich nicht öffentlich von der „fortgesetzten israelischen Apartheidpolitik“ distanzierten."
"The motion was subsequently revoked; but the fact that it was put forward at all is astonishing enough.","Der Antrag wurde anschließend zurückgezogen, doch ist die Tatsache, dass er überhaupt gestellt wurde, schon erstaunlich genug."
"Indeed, the union’s call for a wholesale boycott contravened its most fundamental values: the principle of academic freedom, openness, and exchange; protection of research from state politics; and the fundamental right to free speech.","Tatsächlich verstößt die Forderung der Gewerkschaft nach einem pauschalen Boykott gegen ihre grundsätzlichen Werte: Das Prinzip der akademischen Freiheit, Offenheit und des Austauschs; den Schutz der Forschung vor der Staatspolitik; das Grundrecht der Redefreiheit."
"The motion implicitly adopted the yardstick of collective punishment and a distinctly McCarthyite tone, demanding a sort of “disloyalty oath” from Israeli academics.","In dem Antrag wurde stillschweigend die kollektive Bestrafung als Maßstab angelegt und ein deutlich an McCarthy erinnernder Ton angeschlagen, wobei von israelischen Akademikern eine Art „Untreueschwur“ gefordert wurde."
"What led scholars who are putatively the guardians of democratic freedoms to embrace measures so reminiscent of fascist and Stalinist tactics?","Was hat Gelehrte, die vermeintlichen Hüter demokratischer Freiheiten, dazu veranlasst, Maßnahmen zu ergreifen, die so sehr an faschistische und stalinistische Taktiken erinnern?"
"Unfortunately, the NATFHE effort is part of a larger phenomenon.","Leider ist der Versuch von NATFHE Teil eines größeren Phänomens."
"In 2005, the Association of University Teachers (AUT) called for a more limited boycott, singling out Bar Ilan and Haifa Universities for opprobrium.","2005 hat AUT, der Verband der Universitätsdozenten, zu einem stärker eingegrenzten Boykott aufgerufen und die Universitäten Bar Ilan und Haifa als Schandflecken ausgewählt."
"Before that, a petition, signed by roughly 80 prominent British intellectuals and a few from other European countries, demanded the cessation of European Union funding for Israeli cultural projects and institutions.","Davor forderte eine Petition, die von ungefähr 80 bekannten britischen Intellektuellen und einigen anderen aus weiteren europäischen Ländern unterschrieben wurde, dass die Europäische Union die Finanzierung israelischer Kulturprojekte und Institutionen einstellen sollte."
"These campaigns, encouraged by Palestinian groups and non-governmental organizations, have been accompanied by individual acts of professional ostracism, and an informal boycott of Israeli scholars, publications, and cultural projects already exists in some European circles.","Diese Kampagnen, die von palästinensischen Gruppierungen und Nichtregierungsorganisationen unterstützt werden, wurden von einzelnen professionellen Ächtungsaktionen begleitet, zudem gibt es in einigen europäischen Kreisen bereits einen inoffiziellen Boykott israelischer Gelehrter, Veröffentlichungen und Kulturprojekte."
"Such developments suggest an advanced and deeply disturbing trend, whereby certain segments of the European intelligentsia are willing to violate their own beliefs in order to target one state for unique stigmatization; and whereby insidious and sometimes illegal forms of discrimination against that state’s citizens are increasingly seen as acceptable.","Derartige Entwicklungen deuten auf einen weit fortgeschrittenen und beunruhigenden Trend hin, in dessen Zuge bestimmte Teile der europäischen Intellektuellen bereit sind, gegen ihre eigenen Glaubensgrundsätze zu verstoßen, um einen Staat mit einzigartiger Stigmatisierung ins Kreuzfeuer zu nehmen. Dabei werden heimtückische und teilweise illegale Formen der Diskriminierung gegen Bürger dieses Staates in zunehmendem Maße als akzeptabel angesehen."
